Cas-nr,PubChem CID
50-00-0,712
50-01-1,5742
50-65-7,4477
50-69-1,5311110
50-78-2,2244
50-81-7,54670067
51-67-2,5610
52-90-4,5862
53-84-9,5892
53-86-1,3715
54-11-5,89594
54-12-6,1148
54-21-7,16760658
54-64-8,16684434
54-85-3,3767
55-10-7,1245
55-21-0,2331
56-12-2,119
56-23-5,5943
56-40-6,750
56-41-7,5950
56-45-1,5951
56-75-7,5959
56-81-5,753
56-82-6,751
56-84-8,5960
56-85-9,5961
56-86-0,33032
56-87-1,5962
56-89-3,67678
56-92-8,5818
57-09-0,5974
57-13-6,1176
57-48-7,5984
57-50-1,5988
57-55-6,1030
57-83-0,5994
57-87-4,444679
58-08-2,2519
58-22-0,6013
58-27-5,4055
58-56-0,6019
58-61-7,60961
58-68-4,439153
58-85-5,171548
58-86-6,644160
59-23-4,3037556
59-30-3,135398658
59-48-3,321710
59-67-6,938
59-87-0,5447130
60-11-7,6053
60-18-4,6057
60-19-5,66449
60-23-1,6058
60-24-2,1567
60-29-7,3283
60-32-2,564
61-54-1,1150
61-82-5,1639
61-90-5,6106
62-23-7,6108
62-44-2,4754
62-57-7,6119
63-05-8,6128
63-68-3,6137
63-74-1,5333
63-91-2,6140
64-04-0,1001
64-17-5,702
64-18-6,284
64-19-7,176
64-69-7,5240
64-75-5,54704426
64-77-7,5505
65-23-6,1054
65-85-0,243
66-22-8,1174
67-03-8,6202
67-20-9,6604200
67-42-5,6207
67-47-0,237332
67-52-7,6211
67-56-1,887
67-63-0,3776
67-64-1,180
67-66-3,6212
67-68-5,679
68-12-2,6228
69-52-3,23663979
69-72-7,338
69-78-3,6254
69-89-6,1188
70-11-1,6259
70-34-8,6264
70-70-2,6271
71-00-1,6274
71-23-8,1031
71-30-7,597
71-36-3,263
71-44-3,1103
72-18-4,6287
72-19-5,6288
73-22-3,6305
73-24-5,190
73-32-5,6306
74-79-3,6322
74-89-5,6329
75-04-7,6341
75-05-8,6342
75-12-7,713
75-31-0,6363
75-50-3,1146
75-52-5,6375
75-65-0,6386
75-76-3,6396
75-85-4,6405
75-89-8,6409
75-97-8,6416
76-03-9,6421
76-05-1,6422
76-54-0,64944
76-59-5,6450
77-76-9,6495
77-78-1,6497
77-86-1,6503
78-59-1,6544
78-79-5,6557
78-94-4,6570
78-98-8,880
